30 10
12 55 34 100 41 24 29 89 23 81 72 10 47 13 49 50 99 7 48 96 68 53 57 37 39 36 63 60 2 45 
89 2 78 14 92 62 34 62 34 57 47 15 54 27 57 11 87 8 100 86 73 38 13 79 49 54 35 28 51 94 
69 94 27 23 88 19 38 32 89 35 75 26 58 29 24 93 85 90 74 19 55 4 12 92 57 59 26 1 79 42 
94 19 40 42 52 35 72 54 66 78 27 12 73 85 44 53 9 95 60 15 13 43 12 35 23 69 38 51 74 9 
22 43 21 52 99 24 29 93 10 23 66 98 44 29 18 52 87 29 74 45 28 11 21 63 53 62 47 94 51 70 
31 74 17 18 41 49 83 59 48 66 64 12 87 64 97 13 98 79 19 1 16 49 68 13 80 12 82 86 28 4 
22 72 15 29 68 100 44 8 27 1 30 53 87 62 59 51 34 70 21 90 57 12 2 58 42 77 89 42 78 52 
95 10 62 70 22 65 91 24 11 3 49 81 98 62 75 76 22 79 6 49 20 91 80 36 29 37 34 75 87 54 
36 99 96 21 57 13 65 86 94 77 42 46 34 79 17 87 66 6 77 98 76 47 9 65 52 87 1 76 81 16 
38 16 63 47 66 41 100 66 45 14 7 3 15 74 22 95 11 58 84 80 71 3 28 94 33 47 93 77 35 27 
