30 15
68 34 57 22 28 79 98 69 65 9 92 27 10 56 93 2 2 86 51 38 4 23 81 54 56 81 55 2 6 88 
91 21 69 24 6 80 55 84 21 92 22 67 65 74 96 99 72 54 99 25 29 95 43 33 58 24 33 67 88 65 
17 4 12 24 47 27 71 63 79 84 73 89 77 66 79 100 49 79 68 18 84 66 11 39 10 37 74 56 52 62 
68 48 2 3 71 21 80 15 50 88 4 10 85 61 50 13 44 52 2 97 11 57 95 23 92 21 43 82 32 51 
46 67 51 76 81 56 23 27 67 48 38 35 5 27 35 15 84 2 66 35 61 91 78 44 95 97 66 49 54 52 
86 24 68 65 93 36 45 66 68 71 31 67 25 41 28 35 48 67 44 7 47 15 1 32 95 60 65 74 20 89 
24 63 34 94 94 24 44 73 56 71 55 88 14 100 100 3 90 69 98 45 17 90 87 16 73 25 32 97 10 23 
43 68 8 69 21 94 22 98 53 90 49 43 78 26 84 58 48 78 83 98 2 84 11 96 83 21 96 11 7 55 
58 96 17 73 32 53 40 64 71 24 66 51 32 92 78 39 27 38 50 81 68 25 26 29 57 53 29 75 64 63 
86 45 55 33 23 50 93 38 29 54 83 22 23 79 81 56 45 92 53 18 85 88 80 87 83 34 7 76 14 79 
40 91 80 86 73 55 38 3 63 77 75 23 21 100 65 57 49 13 13 60 93 65 29 34 24 57 33 65 35 63 
27 97 61 36 48 7 4 69 36 96 82 60 11 39 69 48 26 25 57 73 64 24 100 25 54 12 78 41 81 94 
38 96 51 48 35 78 96 46 62 66 87 54 65 11 17 82 36 40 39 86 98 80 28 80 48 34 30 76 92 79 
82 3 32 42 67 14 42 27 77 49 82 22 60 59 96 86 20 37 50 34 34 98 40 14 81 28 36 9 22 39 
86 46 36 85 59 53 53 34 35 29 89 76 23 97 19 53 33 80 92 3 62 76 37 83 20 87 45 80 81 50 
