50 10
59 30 22 70 38 51 63 48 92 91 62 67 73 27 48 7 55 4 19 30 71 83 45 40 100 97 74 73 14 100 53 68 69 34 7 47 54 9 64 38 72 26 88 73 77 20 99 13 40 77
47 1 58 81 17 15 84 62 29 21 6 83 18 94 28 51 46 4 97 95 39 40 33 67 6 75 89 46 24 29 11 77 40 41 26 31 96 13 22 25 6 33 39 70 4 36 64 7 87 8
20 90 68 2 48 72 75 71 91 56 3 70 55 71 46 48 65 31 37 86 93 37 12 83 82 81 14 62 27 8 74 88 46 10 79 83 8 81 51 16 40 37 63 57 85 9 7 80 34 14
43 97 3 32 53 8 75 70 99 49 89 49 49 33 73 4 48 49 30 22 87 25 63 11 78 22 33 27 62 55 66 47 62 17 76 28 28 1 33 24 56 84 43 5 50 89 68 57 96 76
49 5 33 72 57 34 71 6 54 43 48 50 66 31 89 29 61 28 37 17 38 68 32 62 5 38 11 63 72 88 94 51 23 25 35 92 94 94 9 62 23 61 98 100 9 4 67 22 27 19
74 70 48 57 17 90 13 94 64 20 97 50 56 68 35 62 36 78 16 16 7 47 40 69 43 2 43 34 85 96 66 73 31 33 92 83 50 82 25 4 39 86 27 31 45 32 85 78 78 82
38 59 27 32 25 40 10 10 89 27 79 60 90 45 98 37 69 73 15 61 24 81 60 46 18 53 70 58 98 23 98 16 45 17 77 96 20 29 22 39 38 22 32 34 35 76 60 75 53 86
46 63 12 25 50 44 97 71 89 68 21 28 29 52 97 15 14 26 89 79 1 62 54 93 73 44 58 91 99 98 87 17 21 28 15 18 28 82 64 77 5 94 20 11 3 20 23 17 40 21
18 15 65 13 72 47 81 29 38 99 96 15 87 95 67 10 78 29 11 24 91 96 66 80 86 73 47 11 25 19 5 87 15 45 27 84 99 27 78 36 75 93 25 98 41 84 55 70 72 10
12 93 21 87 72 77 31 99 87 73 77 50 4 40 9 66 100 26 16 9 34 19 92 50 62 74 8 80 7 79 85 96 40 68 69 45 65 45 88 60 44 17 25 76 80 6 52 55 91 51
