20 15
78 13 47 26 68 47 63 52 91 100 63 96 54 50 17 46 91 99 20 18 
37 81 9 61 41 60 21 100 21 54 58 60 55 33 7 76 42 93 84 4 
79 100 31 5 46 23 10 38 59 77 93 79 89 51 12 32 30 57 25 21 
98 77 40 22 58 23 50 79 55 53 24 84 77 100 66 32 39 23 1 43 
100 45 86 26 37 57 12 90 39 90 18 86 40 46 98 28 97 52 72 55 
21 39 27 52 59 60 84 52 75 91 78 31 71 27 25 48 72 89 63 86 
82 60 69 57 22 35 91 81 3 53 74 41 21 30 76 63 96 4 79 99 
27 87 50 97 43 56 7 54 11 68 57 79 43 80 25 92 78 74 63 38 
7 38 87 10 49 54 44 51 14 18 100 63 60 56 76 85 71 21 17 81 
22 91 34 68 21 73 75 11 24 86 92 17 58 50 25 69 75 10 38 74 
9 17 13 8 42 81 60 76 36 28 51 31 13 97 69 24 17 53 21 34 
57 85 15 49 70 61 72 50 72 61 73 65 3 70 69 38 26 94 36 40 
84 43 95 41 13 15 28 24 48 86 6 41 73 9 73 57 94 59 1 61 
91 81 96 16 2 70 83 12 69 36 12 77 44 22 45 21 3 100 73 76 
5 33 72 35 76 51 52 23 55 15 83 74 85 92 74 66 39 68 58 100 
