20 10
96 25 76 41 65 81 49 93 39 52 72 55 8 27 34 15 59 93 20 59 
80 44 62 6 91 69 9 89 83 46 4 43 91 11 86 5 55 4 91 13 
56 10 48 3 75 65 12 31 55 64 29 47 81 94 87 39 43 43 73 93 
48 41 54 33 30 93 54 14 32 13 94 32 93 38 10 23 49 5 41 26 
14 64 47 77 47 61 75 37 18 54 85 87 14 33 64 16 23 84 100 11 
88 52 35 44 55 3 66 57 9 62 51 97 86 67 30 1 25 55 38 7 
50 19 72 43 51 44 34 33 93 45 29 41 64 8 47 57 51 22 75 66 
15 28 54 50 1 17 12 96 65 80 65 86 42 55 51 55 72 78 9 42 
67 72 27 19 36 6 32 32 75 19 50 17 70 99 69 62 9 31 76 54 
65 27 56 43 73 14 6 45 73 65 16 30 3 18 26 35 1 11 71 99 
