20 15
60 79 94 23 38 27 23 41 92 69 16 37 4 55 17 76 81 63 98 47 
70 53 57 3 32 14 55 91 44 69 38 19 57 65 70 94 49 70 39 48 
51 74 19 82 68 77 67 90 12 71 36 55 26 21 33 54 83 14 91 89 
74 87 77 87 7 20 6 43 37 54 48 2 29 99 81 34 72 85 5 33 
6 18 70 45 49 92 64 37 75 36 92 96 91 27 24 12 31 66 55 99 
4 16 90 54 49 74 68 96 20 96 20 10 94 53 35 28 72 41 28 10 
27 44 36 76 72 33 19 99 14 3 55 81 21 42 77 24 91 64 43 54 
5 95 73 60 31 44 73 46 43 27 89 29 30 78 21 5 8 54 97 94 
30 41 37 61 70 43 92 41 26 16 75 2 30 63 83 59 40 10 35 52 
79 3 24 98 8 52 96 51 64 61 57 34 51 25 19 4 93 65 23 44 
58 20 28 68 26 10 3 33 85 94 89 83 31 86 44 46 84 26 50 73 
49 59 23 14 81 81 21 49 14 96 62 1 62 60 70 93 63 58 99 67 
91 74 16 10 86 30 51 17 54 85 36 45 53 64 90 32 67 20 59 44 
20 33 97 17 60 93 3 64 54 34 36 23 29 76 34 78 36 64 63 36 
63 42 75 9 74 71 25 68 97 34 69 64 51 69 90 48 84 41 95 98 
