30 15
19 84 85 14 57 43 24 9 46 99 77 11 75 41 4 22 93 46 5 94 97 83 24 78 58 2 82 57 17 79 
84 3 77 44 76 47 47 55 84 35 41 52 31 27 1 51 54 31 47 5 15 28 15 9 28 65 92 60 7 93 
11 50 46 9 4 21 29 99 94 34 4 9 5 97 2 78 86 7 33 39 19 40 53 17 3 45 22 51 9 83 
52 48 60 71 70 8 62 52 86 26 25 71 90 6 3 74 78 95 99 96 30 81 49 74 30 41 44 44 54 8 
100 50 22 29 38 36 41 83 72 44 26 36 80 82 33 96 59 99 83 60 19 25 21 90 40 1 92 30 31 81 
59 5 21 10 58 90 28 65 23 15 15 78 61 80 6 1 10 48 54 56 75 99 32 21 64 96 51 87 17 61 
66 53 53 9 83 84 35 31 20 98 69 82 30 6 35 58 59 87 79 26 32 3 46 85 36 36 4 24 2 69 
18 55 61 79 39 82 60 67 63 99 17 95 14 59 18 51 31 17 7 19 85 91 95 69 23 39 35 42 66 99 
72 57 43 82 36 99 4 85 81 23 86 88 30 40 79 17 37 9 63 49 24 99 57 2 4 55 67 29 47 34 
65 39 1 33 75 60 23 75 17 74 39 88 81 38 78 40 67 26 5 48 79 94 96 49 7 14 80 34 73 68 
96 29 96 63 85 51 29 51 60 93 34 3 83 73 62 37 92 20 67 50 1 7 65 40 17 17 32 79 1 51 
71 17 16 64 40 84 82 36 56 66 97 58 95 22 23 58 74 20 10 31 53 51 61 98 37 20 91 68 16 46 
9 23 26 85 50 100 63 12 10 85 43 63 93 98 24 80 28 96 1 68 81 44 82 90 81 3 49 15 32 91 
23 61 100 39 34 27 53 19 15 56 43 66 7 44 15 64 28 20 27 11 57 10 62 51 96 21 17 78 86 52 
61 99 4 67 35 59 31 44 85 24 28 19 17 23 5 61 40 27 1 83 8 100 92 20 20 67 20 98 85 50 
