75 20
88 50 49 66 6 97 95 80 55 52 24 51 38 15 35 80 54 85 30 67 2 64 7 12 83 50 67 15 97 44 10 75 44 46 36 93 23 55 44 69 36 73 35 3 81 98 10 95 59 31 66 44 70 72 6 52 13 21 29 17 90 77 34 40 99 42 22 20 41 14 93 59 16 94 47
49 16 45 95 54 31 63 11 61 23 33 53 69 91 55 22 78 35 28 17 90 56 52 39 3 54 28 87 17 28 56 62 33 79 35 64 51 6 66 92 70 10 49 47 90 90 83 28 13 47 68 36 36 81 5 70 62 91 94 31 89 78 34 19 17 41 26 33 47 81 69 73 79 97 64
15 58 92 36 31 45 69 21 42 2 90 25 49 29 57 50 51 27 69 96 49 95 27 61 41 33 30 47 29 42 78 54 12 21 71 80 91 70 10 27 65 90 94 95 34 80 23 82 99 40 98 90 59 70 18 18 14 71 83 67 64 42 94 36 10 84 50 25 51 96 51 34 87 78 98
75 11 46 29 33 56 23 82 5 91 65 73 91 15 70 5 91 28 40 75 5 31 74 84 34 22 72 32 76 2 34 19 32 71 60 46 3 30 50 11 87 77 4 15 86 14 22 59 99 39 4 42 25 54 50 63 66 57 61 24 21 50 35 24 90 32 73 63 73 3 76 40 70 63 43
21 21 99 8 28 65 47 30 93 41 4 36 16 51 68 24 97 93 40 95 36 68 20 49 32 75 8 85 86 16 4 5 98 89 7 7 68 95 18 92 96 34 37 60 81 6 64 10 24 10 99 44 25 48 41 60 84 18 91 59 1 21 50 41 75 57 15 6 8 25 89 53 98 27 71
6 82 1 100 40 7 11 89 1 34 98 29 89 63 61 21 3 93 1 64 43 24 17 59 11 57 10 6 4 92 80 4 25 28 26 53 71 66 49 55 45 6 48 7 45 47 24 12 71 89 76 67 25 33 5 75 4 79 10 34 10 26 92 44 43 75 51 6 3 25 86 20 88 77 98
79 23 9 32 7 78 10 97 56 28 81 8 25 74 23 64 14 15 35 65 23 51 17 12 53 83 69 4 3 10 92 41 73 33 85 23 64 50 48 51 75 63 82 24 7 71 86 43 58 75 60 6 30 74 5 15 22 68 20 70 35 58 5 69 68 43 61 14 21 23 86 5 95 98 83
74 33 37 8 96 74 40 18 57 29 33 93 57 98 15 31 95 81 86 34 73 78 46 100 90 89 95 31 46 14 33 26 41 53 60 84 76 7 76 7 49 74 81 94 61 55 76 45 12 51 59 60 3 60 31 39 32 84 93 82 1 22 43 90 8 73 83 61 55 39 12 96 41 19 30
45 2 99 68 62 61 70 18 61 77 73 76 43 52 8 42 7 84 77 16 55 74 78 97 85 22 13 87 98 28 80 84 94 91 80 89 73 13 12 1 35 92 78 22 79 29 76 50 6 24 7 87 16 76 71 31 9 87 68 82 85 55 98 42 43 81 60 10 85 65 55 85 9 7 83
63 95 79 25 70 74 24 31 29 81 72 13 40 14 20 71 2 73 71 6 15 59 23 18 80 71 76 6 97 10 31 71 66 76 88 12 85 68 46 30 57 87 6 25 80 32 67 96 55 4 30 44 81 2 94 68 58 27 60 69 88 79 28 46 69 57 97 100 1 62 68 30 85 93 40
20 19 38 44 29 11 32 59 84 24 22 44 83 57 7 100 28 10 87 26 19 84 62 22 54 77 33 88 35 92 99 25 62 26 60 32 33 81 17 10 50 56 69 57 12 51 17 75 20 67 59 64 73 3 97 22 71 59 30 51 14 36 59 51 3 33 83 20 37 50 2 60 16 88 17
18 36 68 14 97 65 92 76 40 34 29 26 47 41 81 66 19 88 47 95 54 74 27 12 53 98 21 19 17 62 29 15 44 65 51 100 36 7 87 74 92 88 37 37 11 8 1 89 95 67 80 30 43 66 72 61 55 3 78 80 31 79 99 88 71 95 33 86 75 49 82 72 43 43 45
13 18 53 23 57 11 63 20 9 86 32 49 69 45 58 11 36 86 41 7 11 10 83 35 94 17 83 95 85 7 40 89 84 79 55 16 91 35 28 75 5 73 59 67 27 94 47 92 57 98 94 49 95 84 98 40 40 54 60 63 94 6 80 19 55 41 57 8 24 59 93 30 1 59 86
64 76 73 40 88 54 98 6 89 83 49 73 66 64 27 42 20 96 32 13 50 80 63 85 57 16 21 59 41 3 5 34 1 41 16 11 38 32 54 90 51 73 18 70 41 67 8 52 7 12 25 35 50 8 69 19 70 56 39 6 66 56 36 94 38 7 60 83 88 10 10 74 13 64 86
3 87 92 61 61 85 48 94 90 28 25 23 90 17 22 47 59 51 39 66 99 30 77 81 9 55 35 91 90 25 13 96 41 40 11 96 62 1 30 92 53 7 69 83 15 58 29 69 47 55 9 51 50 97 9 28 22 84 29 1 66 16 70 68 79 94 31 31 63 17 12 89 17 86 14
13 1 98 80 43 13 36 86 63 88 12 7 71 28 27 41 69 33 82 90 55 1 75 53 31 33 8 29 95 29 80 20 49 89 90 25 92 14 40 44 23 2 29 77 44 55 57 24 54 71 24 85 53 52 30 60 41 97 75 49 18 6 59 53 85 78 82 70 40 15 45 1 84 16 46
1 21 86 74 91 67 55 36 15 20 8 56 71 82 43 34 60 51 60 69 82 27 61 62 36 12 45 13 24 4 11 22 44 5 60 89 97 13 92 14 83 29 7 96 1 52 4 36 53 84 84 34 37 23 48 90 54 70 94 3 4 25 22 75 87 88 34 4 2 59 28 91 50 37 6
