50 10
58 38 16 32 10 96 8 25 42 37 92 78 35 47 47 2 93 38 70 14 60 32 25 77 68 92 46 74 83 72 13 80 54 7 100 5 23 22 17 78 12 71 37 54 35 91 40 1 57 75
62 49 53 59 74 70 72 19 93 62 78 73 34 3 63 100 15 62 1 38 26 13 52 2 65 57 66 85 56 90 8 56 59 20 61 42 74 74 8 1 58 3 62 75 58 14 47 23 69 44
99 31 33 13 78 92 78 53 72 60 25 64 89 73 36 92 96 29 63 71 23 38 62 38 85 17 7 55 31 55 2 40 82 10 16 57 65 74 16 55 9 68 60 14 3 89 1 77 76 90
63 36 21 99 58 53 8 65 85 66 97 47 92 85 23 8 40 19 47 55 50 22 40 83 60 25 11 42 98 34 30 18 81 45 67 26 36 80 97 3 83 81 85 19 47 62 6 76 55 73
18 13 85 61 39 1 7 83 35 39 4 68 97 27 8 67 84 32 20 100 32 37 76 33 97 68 13 98 24 90 94 87 33 96 63 24 88 40 67 68 57 61 31 32 23 52 19 71 56 4
68 39 99 98 23 52 94 57 68 71 79 47 74 28 3 27 59 13 79 41 93 59 15 60 25 26 66 51 75 21 24 98 71 70 96 35 68 65 95 26 27 3 84 66 98 59 1 99 83 74
14 64 20 30 10 58 66 95 93 5 19 79 91 45 57 15 29 21 38 93 79 85 36 64 57 86 51 40 59 76 77 100 4 93 67 53 100 53 70 33 78 14 80 3 18 44 86 40 12 51
45 58 85 14 78 71 32 71 4 27 67 97 21 34 68 34 40 96 3 11 85 80 7 2 71 49 26 69 53 60 71 41 87 77 12 67 69 86 45 5 14 75 75 69 26 62 37 14 26 25
98 72 96 22 75 15 90 68 94 65 90 37 41 29 43 63 15 70 60 20 48 94 18 33 94 74 41 20 50 82 100 2 21 48 20 94 84 19 17 9 61 49 59 77 64 76 79 27 12 20
37 31 99 66 42 50 92 65 45 87 53 10 18 85 68 20 10 76 48 3 20 19 28 9 59 35 94 64 45 76 80 86 18 22 64 72 93 70 97 66 55 94 6 90 22 33 95 46 53 95
