20 15
59 72 92 49 42 21 80 4 46 23 53 72 5 80 7 68 77 17 61 29 
11 54 26 27 12 61 99 54 23 84 91 17 44 19 16 73 2 86 14 6 
4 36 15 99 55 52 88 43 54 92 80 53 96 73 46 57 1 32 70 6 
79 3 81 64 62 49 83 63 77 94 8 36 37 95 82 4 82 35 58 12 
94 59 86 30 37 44 11 44 60 8 41 9 21 78 97 66 2 6 24 78 
31 23 56 51 24 98 93 78 53 10 89 24 44 78 82 71 49 50 36 28 
74 40 92 26 24 26 47 44 42 77 3 80 49 31 41 87 89 53 70 40 
82 59 47 89 42 68 80 39 72 58 87 9 13 13 21 43 27 39 57 13 
53 89 93 40 41 61 100 76 90 64 57 28 86 50 11 60 34 94 31 61 
51 37 21 64 88 25 87 99 11 95 75 60 74 93 50 56 52 89 100 19 
19 85 40 60 14 6 84 29 22 55 37 94 89 98 5 30 85 22 21 39 
31 67 77 67 33 46 17 38 68 15 8 99 3 80 28 21 26 75 76 98 
46 39 84 67 85 75 43 14 94 19 23 67 82 46 95 14 80 59 54 69 
47 65 10 100 4 37 93 75 24 62 88 10 85 9 84 37 87 74 94 14 
10 60 91 3 20 5 58 25 14 67 65 44 61 37 45 61 58 27 57 3 
