75 20
3 71 4 33 13 23 68 77 6 34 65 29 82 2 94 89 40 28 57 56 82 12 52 32 6 53 71 50 30 24 66 17 64 17 12 11 98 86 10 31 35 32 60 78 73 55 61 51 12 54 13 51 53 30 18 78 95 82 74 31 40 11 81 10 85 16 40 17 33 98 50 49 81 57 13
64 63 39 3 90 62 4 27 68 87 70 28 97 38 37 5 78 16 6 59 10 21 77 90 94 52 46 5 33 98 93 34 64 51 85 84 91 73 22 55 14 66 4 45 31 30 32 56 44 63 5 88 53 67 24 39 56 42 88 11 55 86 97 4 49 1 51 16 39 86 51 49 24 42 96
92 89 31 86 44 25 69 44 42 81 2 73 86 58 31 72 75 55 55 42 9 72 74 82 88 10 90 30 34 2 57 47 45 51 87 3 70 89 82 98 10 16 41 32 63 32 64 5 30 38 50 17 12 32 1 69 7 15 16 59 17 88 95 89 40 49 39 57 78 100 46 65 30 39 17
79 2 64 65 27 100 56 95 39 37 63 14 15 14 83 23 55 29 18 20 59 83 66 7 27 77 47 86 5 10 28 16 53 44 18 30 59 11 15 26 23 11 20 4 44 44 33 66 23 9 53 10 60 7 82 38 55 39 18 48 8 2 62 40 18 99 14 16 86 29 73 75 12 91 41
4 95 41 46 42 81 45 37 87 51 7 60 41 3 26 16 2 38 4 5 71 56 40 27 48 56 12 22 65 29 24 87 78 82 12 4 17 37 77 72 82 94 19 92 74 52 37 63 93 12 31 86 38 73 2 61 10 36 50 87 9 1 74 65 34 67 75 94 85 34 52 75 63 3 6
67 21 85 44 10 17 29 29 29 66 99 15 25 65 96 3 98 16 19 92 47 19 69 83 73 73 7 100 65 43 3 36 59 14 69 17 73 80 6 43 7 42 13 14 62 98 91 31 37 50 38 93 32 98 57 1 48 40 45 54 84 78 4 52 41 12 33 95 17 40 32 84 14 64 1
69 27 30 23 72 68 30 100 44 56 51 72 87 88 92 40 1 66 53 3 84 89 34 61 38 57 51 10 30 83 69 10 55 77 75 73 18 85 71 1 21 7 56 92 63 43 30 48 44 93 93 67 64 58 45 51 24 36 87 99 22 28 17 11 59 35 36 87 35 55 45 27 51 90 42
89 56 58 69 88 36 64 45 76 81 9 34 53 90 94 37 19 63 17 54 74 100 79 86 19 1 38 43 42 14 66 26 48 14 27 17 38 71 20 15 11 86 47 22 66 59 6 36 4 90 98 58 25 79 23 88 29 25 81 26 16 29 71 72 85 91 94 25 37 11 51 86 72 88 40
50 31 81 81 34 70 44 36 51 17 90 50 1 72 19 21 83 35 31 51 99 6 25 38 47 84 19 57 86 69 92 64 22 27 65 47 9 12 41 7 48 22 18 44 38 60 96 57 80 24 76 47 73 15 58 14 18 32 41 57 14 75 26 76 62 46 12 72 62 43 100 45 13 66 89
9 17 92 95 13 55 59 85 18 70 77 100 25 62 47 42 33 30 69 11 42 74 42 6 54 95 47 80 12 58 62 91 36 16 72 71 6 94 77 22 22 93 77 43 82 11 73 35 88 51 64 96 39 10 51 29 36 90 32 31 78 90 9 4 65 10 82 47 97 51 49 60 75 12 12
