20 10
77 99 74 4 49 53 88 92 2 97 28 64 25 19 81 9 5 8 34 13 
95 28 25 21 95 59 47 99 49 18 93 22 96 41 1 29 74 66 7 56 
41 42 92 40 96 75 28 84 86 28 93 91 98 87 74 49 19 40 58 45 
97 4 29 80 74 19 11 13 46 77 7 56 51 15 56 48 27 71 94 27 
47 7 4 66 96 13 86 73 58 92 25 46 21 31 8 72 71 17 22 40 
45 30 21 85 63 50 90 55 42 54 89 27 20 78 55 38 35 61 27 26 
10 65 47 1 59 82 93 19 24 49 49 32 93 54 3 26 52 84 40 90 
41 45 36 33 84 60 38 93 79 24 11 70 64 74 92 3 76 49 19 28 
72 51 61 1 70 9 33 74 12 19 93 94 86 71 28 49 79 52 26 27 
8 94 9 4 29 13 59 25 17 71 45 5 11 6 5 80 47 56 77 88 
