50 10
100 19 70 50 80 47 40 84 85 60 78 98 4 45 73 77 22 90 12 9 29 83 83 83 11 10 73 85 56 59 70 4 51 18 61 25 84 74 33 38 43 15 75 29 14 29 73 87 86 2
72 3 56 93 97 59 63 80 46 60 64 31 57 45 94 84 66 51 92 76 12 15 95 46 32 74 40 30 63 67 66 66 42 30 9 91 8 2 7 43 98 19 98 60 49 20 19 79 99 41
76 19 39 100 3 29 69 68 59 2 21 42 30 25 83 11 5 87 43 62 71 73 87 82 15 73 4 58 26 73 80 79 90 61 3 31 95 24 62 2 28 50 42 80 78 27 33 52 31 41
100 68 71 71 10 3 21 82 35 50 5 73 11 45 59 82 77 27 21 46 70 32 29 2 27 99 20 89 87 65 32 43 85 67 2 2 61 42 68 4 51 30 67 86 93 66 36 85 25 88
16 29 29 84 14 26 56 4 68 90 85 83 67 7 1 10 97 65 92 71 46 51 46 55 2 54 51 48 53 60 93 39 84 57 61 14 85 33 42 62 43 75 24 70 45 70 93 24 78 6
9 22 91 64 32 20 73 45 84 20 55 48 4 59 72 9 28 76 64 65 96 6 67 54 43 89 18 15 8 61 56 83 29 60 18 97 41 24 41 95 84 90 63 13 94 95 21 89 10 77
5 16 100 67 92 50 56 100 89 78 15 71 82 88 65 67 61 67 94 76 12 3 89 85 23 83 37 82 80 94 26 55 73 25 44 91 88 62 78 76 13 94 15 100 35 7 44 50 41 89
87 13 86 29 67 26 10 96 18 56 23 49 77 42 62 27 82 20 67 65 70 29 73 3 79 5 18 77 46 86 41 25 8 10 78 84 4 13 67 91 71 35 45 86 46 11 51 4 66 80
34 87 88 28 72 1 46 29 97 62 36 72 98 57 45 43 62 75 60 30 76 3 69 20 28 28 61 2 5 38 21 62 95 20 38 88 86 62 99 67 64 51 92 88 18 75 4 37 35 21
15 70 99 81 68 70 40 67 58 27 87 30 21 81 76 8 96 67 46 38 19 24 33 57 29 90 75 3 62 1 9 13 57 95 74 26 51 10 6 78 81 83 44 6 85 52 24 50 1 54
