30 15
94 73 55 53 89 41 80 63 84 10 36 66 79 90 64 34 25 40 6 17 55 84 44 92 71 20 48 48 91 57 
24 46 6 9 63 42 35 83 78 94 32 98 42 52 40 69 6 62 38 79 15 59 76 97 90 94 56 46 5 78 
34 90 28 67 14 38 48 93 16 30 59 49 65 18 19 36 13 98 74 95 11 92 34 2 69 66 18 80 10 60 
45 94 38 19 77 67 72 11 19 17 18 11 49 17 49 47 9 3 83 70 12 29 98 59 8 75 96 26 66 30 
45 20 93 46 14 92 77 87 31 37 56 61 77 66 100 71 46 23 21 70 85 89 87 47 47 18 53 42 64 20 
93 9 74 41 47 21 19 67 56 50 39 85 12 7 74 44 80 69 14 40 40 89 99 69 89 14 5 68 57 3 
28 2 81 68 3 100 75 38 56 14 65 65 38 83 12 71 37 1 84 53 11 56 19 47 53 32 29 81 13 68 
83 89 89 33 35 39 37 33 18 50 77 8 75 24 71 20 52 3 41 5 26 48 89 85 86 66 22 11 38 83 
12 35 61 68 98 85 81 43 77 34 91 46 80 37 80 5 76 43 100 86 8 32 43 66 97 2 41 1 26 45 
73 38 38 46 96 42 48 40 65 80 21 56 76 48 9 96 95 68 88 57 97 41 8 69 93 1 83 41 52 42 
34 87 9 51 24 37 64 46 82 88 58 39 65 15 31 15 56 91 58 59 38 29 55 19 56 10 57 34 89 94 
64 14 61 96 45 10 2 3 14 52 90 29 50 92 1 83 84 37 59 37 28 9 55 85 58 9 14 59 38 26 
57 15 90 74 68 41 1 86 96 100 65 63 8 72 55 93 17 92 36 40 3 58 87 32 65 8 61 33 93 32 
58 28 24 16 18 16 65 1 20 37 33 42 9 20 18 36 9 84 99 33 59 84 22 86 37 28 90 43 93 47 
49 50 65 71 23 67 4 68 6 65 65 4 33 2 9 95 51 48 68 89 30 58 97 65 94 66 4 78 50 94 
